stop_id,arrival_time,departure_time,departure_stop_id,route,transfer_route,radius_ft,lat,lon
6441,07:36,06:55,160,12,71,1320,43.094411,-89.511173
6445,07:27,07:03,133,3,14,1320,43.064263,-89.502396
6447,07:50,07:03,133,3,14,0,43.063152,-89.489101
6455,07:43,06:56,160,2,73,1260,43.05592,-89.527329
6457,07:45,06:56,160,2,73,900,43.064193,-89.526638
6459,07:47,07:03,133,3,14,540,43.067402,-89.493488
6460,07:28,07:03,133,3,14,1320,43.065677,-89.503447
6464,07:38,06:56,160,2,73,1320,43.050679,-89.508316
6466,07:27,07:03,133,3,15,1320,43.075308,-89.507655
6470,07:18,06:55,160,12,71,1320,43.099043,-89.5197
6474,07:29,07:03,133,3,15,1320,43.075126,-89.523926
6482,07:21,07:03,133,3,14,1320,43.060988,-89.482237
6490,07:43,07:03,133,3,15,1260,43.075877,-89.525273
6504,07:41,06:56,160,2,73,1320,43.054332,-89.520489
6506,07:23,07:03,133,3,15,1320,43.07534,-89.498211
6511,07:33,07:03,133,3,15,1320,43.079184,-89.532735
6516,07:36,06:57,133,19,6,1320,43.060966,-89.492358
6519,07:36,07:03,133,3,15,1320,43.088257,-89.527415
6527,07:30,07:03,133,3,15,1320,43.075627,-89.525013
6533,07:42,06:57,133,19,6,1320,43.057329,-89.510756
6541,07:17,06:55,160,12,3,1320,43.049934,-89.478167
6543,07:42,06:55,160,12,71,1320,43.093289,-89.501726
6551,07:46,06:56,160,2,73,720,43.066666,-89.524
6562,07:22,06:55,160,12,71,1320,43.093409,-89.534399
6564,07:23,07:03,133,3,14,1320,43.063412,-89.48667
6569,07:10,06:55,160,12,71,1320,43.08816,-89.483162
6570,07:27,07:03,133,3,15,1320,43.075206,-89.512532
6585,07:35,07:03,133,3,15,1320,43.085281,-89.532028
6588,07:29,07:03,133,3,15,1320,43.075184,-89.519025
6605,07:48,06:56,160,2,73,360,43.073835,-89.526418
6611,07:40,06:55,160,12,71,1320,43.088445,-89.501942
6628,07:29,07:09,133,2,72,1320,43.104468,-89.493031
6630,07:41,06:56,160,2,73,1320,43.052131,-89.518462
6631,07:41,06:57,133,19,6,1320,43.059198,-89.513486
