stop_id,arrival_time,departure_time,departure_stop_id,route,transfer_route,initial_walk_time,radius_ft
2472,12:48,12:15,5,80,6,6,1320
2473,12:36,12:08,178,10,null,4,1320
2480,12:42,12:02,809,1,null,2,1320
2488,12:52,12:15,5,80,6,6,1320
2494,12:56,12:25,809,15,null,2,720
2496,12:42,12:15,5,80,6,6,1320
2499,12:58,12:19,542,3,null,7,360
2500,12:45,12:30,692,2,null,7,1320
2505,12:56,12:19,542,3,null,7,720
2524,12:23,12:19,542,3,null,7,1320
2532,12:59,12:25,809,15,null,2,180
2561,12:21,12:10,184,80,2,5,1320
2562,13:00,12:25,809,15,null,2,0
2566,12:22,12:19,542,3,null,7,1320
2576,12:29,12:21,692,10,null,7,1320
2593,12:54,12:19,542,3,null,7,1080
2595,12:32,12:08,178,10,null,4,1320
2597,12:50,12:19,542,3,null,7,1320
2605,12:22,12:10,184,80,2,5,1320
2608,12:21,12:19,542,3,null,7,1320
2620,12:27,12:21,692,10,null,7,1320
2624,12:41,12:02,809,1,null,2,1320
2638,12:47,12:15,5,80,6,6,1320
2640,12:40,12:02,809,1,null,2,1320
2642,12:15,12:08,178,10,null,4,1320
2643,12:25,12:21,692,10,null,7,1320
2665,12:53,12:17,178,3,50,4,1260
2670,12:53,12:30,692,2,null,7,1260
2672,12:41,12:15,5,80,6,6,1320
2673,12:57,12:19,542,3,null,7,540
2678,12:38,12:02,809,1,null,2,1320
2684,12:52,12:30,692,2,null,7,1320
2691,12:46,12:35,160,19,6,1,1320
2698,12:13,12:08,178,10,null,4,1320
2700,12:39,12:15,5,80,6,6,1320
2702,12:40,12:15,5,80,6,6,1320
2710,12:42,12:02,809,1,null,2,1320
2714,12:15,12:08,178,10,null,4,1320
2715,12:33,12:08,178,10,null,4,1320
2717,12:22,12:10,184,80,2,5,1320
2718,12:26,12:12,178,15,null,4,1320
2729,12:51,12:19,542,3,null,7,1320
2732,12:32,12:19,542,3,null,7,1320
2734,12:46,12:15,5,80,6,6,1320
2742,12:57,12:25,809,15,null,2,540
2749,13:00,12:19,542,3,null,7,0
2755,12:31,12:08,178,10,null,4,1320
2759,12:57,12:19,542,3,null,7,540
2762,12:59,12:25,809,15,null,2,180
2770,12:28,12:21,692,10,null,7,1320
2778,12:34,12:19,542,3,null,7,1320
2786,12:31,12:19,542,3,null,7,1320
2790,12:30,12:19,178,70,null,4,1320
2793,12:51,12:12,178,15,67,4,1320
2798,12:50,12:30,692,2,null,7,1320
2801,12:49,12:19,542,3,null,7,1320
2806,12:22,12:21,692,10,null,7,1320
2812,12:44,12:30,692,2,null,7,1320
2822,12:20,12:10,184,80,2,5,1320
2838,12:26,12:19,542,3,null,7,1320
2840,13:00,12:25,809,15,null,2,0
2846,12:21,12:12,178,15,null,4,1320
2850,12:38,12:15,5,80,6,6,1320
2856,12:25,12:19,542,3,null,7,1320
2867,12:30,12:19,178,70,null,4,1320
2872,12:30,12:19,542,3,null,7,1320
2880,12:38,12:02,809,1,null,2,1320
2881,12:31,12:11,532,80,null,7,1320
2883,12:57,12:19,542,3,null,7,540
2887,13:00,12:19,542,3,null,7,0
2890,12:45,12:15,5,80,6,6,1320
2898,12:51,12:30,692,2,null,7,1320
2899,12:44,12:35,160,19,6,1,1320
2914,12:26,12:19,542,3,null,7,1320
2916,12:38,12:08,178,10,null,4,1320
2918,12:28,12:19,542,3,null,7,1320
2921,12:23,12:10,184,80,2,5,1320
2923,12:29,12:08,178,10,null,4,1320
2938,12:20,12:11,532,80,null,7,1320
2945,12:33,12:08,178,10,null,4,1320
2946,12:33,12:19,542,3,null,7,1320
2948,12:21,12:19,542,3,null,7,1320
2949,12:45,12:35,160,19,6,1,1320
2970,12:23,12:19,542,3,null,7,1320
2972,12:50,12:18,160,3,18,1,1320
2978,12:13,12:11,532,80,null,7,1320
2980,12:49,12:15,5,80,6,6,1320
2982,12:51,12:15,5,80,6,6,1320
2984,12:54,12:30,692,2,null,7,1080
2996,12:12,12:11,532,80,null,7,1320
2998,12:57,12:25,809,15,null,2,540
4085,12:55,12:02,809,1,null,2,900
4100,12:30,12:06,581,3,4,6,1320
4101,12:24,12:06,581,3,4,6,1320
4122,12:53,12:02,809,1,null,2,1260
4149,12:51,12:02,809,1,null,2,1320
4158,12:57,12:02,809,1,null,2,540
4176,12:35,12:18,160,3,18,1,1320
4179,12:45,12:18,160,3,18,1,1320
4191,13:00,12:02,809,1,null,2,0
4202,12:41,12:18,160,3,18,1,1320
4217,12:46,12:18,160,3,18,1,1320
4326,12:39,12:18,160,3,18,1,1320
4333,13:00,12:02,809,1,null,2,0
